"ID","","","","","","","",""
"e4eb7ddc-e546-4535-a0eb-afec623041f4","Character Leadership","Behavioural skills","Leadership - Executive Behaviours","Demonstrated ability to use ones current and past experiences to make decisions that exercise judgement, develop strong leaders, support well-beings of employees, and enable organizational excellence.","Leadership de caractère","Compétences comportementales","Leadership - Comportements des cadres","Capacité démontrée à utiliser ses expériences actuelles et passées pour prendre des décisions qui permettent de faire preuve de discernement, de former des dirigeants forts, de soutenir le bien-être des employés et de favoriser l'excellence organisationnelle"
"3284462d-795e-42d4-80c0-2d2bf48673c0","Executive Leadership of Software Solutions","Technical skills","Leadership - Executive Technical Skills","Demonstrated ability at the executive level to lead Software Solutions initiatives, which may include setting vision and direction, directing implementation and operations, and ensuring delivery of results","Leadership exécutif des solutions logicielles","Compétences techniques","Leadership - Compétences techniques des cadres","Capacité démontrée au niveau de la direction à diriger des initiatives de solutions logicielles, ce qui peut inclure la définition d'une vision et d'une orientation, la direction de la mise en œuvre et des opérations et la garantie de l'obtention des résultats."
"eec1c25f-5ffe-4c98-8a39-e79e58235acb","Executive Leadership of Database Management","Technical skills","Leadership - Executive Technical Skills","Demonstrated ability at the executive level to lead Database Management initiatives, which may include setting vision and direction, directing implementation and operations, and ensuring delivery of results","Leadership exécutif de la gestion de bases de données","Compétences techniques","Leadership - Compétences techniques des cadres","Capacité démontrée au niveau de la direction à diriger des initiatives de gestion de bases de données, ce qui peut inclure la définition d'une vision et d'une orientation, la direction de la mise en œuvre et des opérations et la garantie de l'obtention des résultats."
"4f8f7a97-6948-4a5a-9d1d-18607894c681","Executive Leadership of Digital Business Line Advisory Services","Technical skills","Leadership - Executive Technical Skills","Demonstrated ability at the executive level to lead Digital Business Line Advisory Services, which may include setting vision and direction, directing implementation and operations, and ensuring delivery of results","Leadership exécutif des services consultatifs auprès des secteurs de la numérique","Compétences techniques","Leadership - Compétences techniques des cadres","Capacité démontrée au niveau de la direction à diriger les services consultatifs auprès des secteurs de la numérique, ce qui peut inclure la définition d'une vision et d'une orientation, la direction de la mise en œuvre et des opérations et la garantie de l'obtention des résultats"
"03c7e8ef-4169-4422-b392-fe177d1fee0f","Executive Leadership of Digital Project Portfolio Management","Technical skills","Leadership - Executive Technical Skills","Demonstrated ability at the executive level to lead Digital Project Portfolio Management initiatives, which may include setting vision and direction, directing implementation and operations, and ensuring delivery of results","Leadership exécutif de la gestion de portefeuille de projets numériques","Compétences techniques","Leadership - Compétences techniques des cadres","Capacité démontrée au niveau de la direction à diriger des initiatives de gestion de portefeuille de projets numériques, ce qui peut inclure la définition d'une vision et d'une orientation, la direction de la mise en œuvre et des opérations et la garantie de l'obtention des résultats"
"d3a704a9-b777-4d8f-8e6d-9b2966414ad0","Executive Leadership of Digital Planning and Reporting","Technical skills","Leadership - Executive Technical Skills","Demonstrated ability at the executive level to lead Digital Planning and Reporting initiatives, which may include setting vision and direction, directing implementation and operations, and ensuring delivery of results","Leadership exécutif de la planification et établissement de rapports en matière de la numérique","Compétences techniques","Leadership - Compétences techniques des cadres","Capacité démontrée au niveau de la direction à diriger des initiatives de planification et établissement de rapports en matière de la numérique, ce qui peut inclure la définition d'une vision et d'une orientation, la direction de la mise en œuvre et des opérations et la garantie de l'obtention des résultats"
"b9b1bd88-4a4c-4410-9811-46d03f7f31ea","Executive Leadership of IT Security and Cyber","Technical skills","Leadership - Executive Technical Skills","Demonstrated ability at the executive level to lead IT Security and Cyber initiatives, which may include setting vision and direction, directing implementation and operations, and ensuring delivery of results","Leadership exécutif de la sécurité informatique et de la cybersécurité","Compétences techniques","Leadership - Compétences techniques des cadres","Capacité démontrée au niveau de la direction à diriger des initiatives de sécurité informatique et de cybersécurité, ce qui peut inclure la définition d'une vision et d'une orientation, la direction de la mise en œuvre et des opérations et l'assurance de l'obtention des résultats."
"a2d533a2-8479-492a-9653-9be2cc377508","Executive Leadership of Infrastructure Operations","Technical skills","Leadership - Executive Technical Skills","Demonstrated ability at the executive level to lead Infrastructure Operations initiatives, which may include setting vision and direction, directing implementation and operations, and ensuring delivery of results","Leadership exécutif des opérations d’infrastructure","Compétences techniques","Leadership - Compétences techniques des cadres","Capacité démontrée au niveau de la direction à diriger des initiatives d'opérations d'infrastructure, ce qui peut inclure la définition d'une vision et d'une orientation, la direction de la mise en œuvre et des opérations et l'assurance de l'obtention des résultats."
"0639b9a1-4db7-4985-8d23-88a333690bc4","Microsoft Defender","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to apply concrete knowledge of this antivirus software when working on a variety of projects.","Microsoft Defender","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à appliquer des connaissances concrètes de ce logiciel antivirus dans le cadre de divers projets."
"95e63a37-2a31-4338-a7f3-f8112aae2b3e","M365 Administration","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to manage the deployment, use, maintenance, and support of the Microsoft 365 platform, which includes user management, data security, and compliance within an organization.","Administration M365","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à gérer le déploiement, l'utilisation, la maintenance et le support de la plateforme Microsoft 365, ce qui inclut la gestion des utilisateurs, la sécurité des données et la conformité au sein d'une organisation."
"d575ca8c-7a3c-43bd-aa01-4aa2988983be","PowerShell","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to apply concrete knowledge of this tool to task automation and configuration management processes in a Microsoft environment.","PowerShell","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à appliquer des connaissances concrètes de cet outil aux processus d'automatisation des tâches et de gestion de la configuration dans un environnement Microsoft."
"f9286f8d-f971-49c8-8002-7fc06d0eb044","Microsoft Purview","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to apply concrete knowledge of this suite of tools to discover, classify and explore data in various environments.","Microsoft Purview","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à appliquer une connaissance concrète de cette suite d'outils pour trouver, classer et explorer des données dans divers environnements."
"b68870a0-2f60-4e68-9cec-7199560f3f6f","SharePoint Administration","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to configure SharePoint. This may include integrating Office 365 applications.","Administration de SharePoint","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à configurer SharePoint. Cela peut inclure l'intégration d'applications Office 365."
"804fe285-53f5-43a1-9d90-68bcbb6edb4c","Power Platform Administration","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to manage and optimize Microsoft's Power Platform services including data access and protection and monitoring for applications such as Power Apps, Power Automate, Power Bi, Power Pages, and Power Virtual Agents.","Administration de Power Platform","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à gérer et optimiser les services Power Platform de Microsoft, y compris l'accès aux données et la protection et la surveillance des applications telles que Power Apps, Power Automate, Power Bi, Power Pages et Power Virtual Agents."
"43913a68-fb55-429b-983a-f188bcb780e1","Domain name system (DNS)","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to apply concrete knowledge of DNS services to establish and troubleshoot basic physical or software connectivity.","Système de Noms de Domaine (DNS)","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à appliquer une connaissance concrète des services DNS pour établir et dépanner une connectivité physique ou logicielle de base."
"f66a6056-f298-4930-8f00-70b28c3c1609","Software as a Service (SaaS)","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to leverage cloud technologies to enhance service delivery and user experience.","Logiciel en tant que service","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à tirer parti des technologies infonuagiques  pour améliorer la prestation de services et l'expérience utilisateur."
"40baf3a6-a6a7-475c-9384-73153235161a","Geomatics","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to apply Geomatics principles and techniques in acquiring, managing, analyzing, and interpreting spatial data for diverse applications. This may include utilizing tools such as Geographic Information System (GIS), remote sensing, Global navigation satellite system (GNSS), surveying, and cartography.","Géomatique","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à appliquer les principes et techniques de la géomatique dans l'acquisition, la gestion, l'analyse et l'interprétation des données spatiales pour diverses applications. Cela peut inclure l'utilisation d'outils tels que les Systèmes d'Information Géographique (SIG), la télédétection, les systèmes de navigation par satellite (GNSS), la topographie et la cartographie."
"be778b9e-be1f-4085-b193-fb82f31acaba","Telecommunications","Technical skills","IT Infrastructure Operations","Demonstrated ability to design, implement, or administer telecommunications systems and networks to ensure reliable communication infrastructure and services.","Télécommunications","Compétences techniques","Opérations d'infrastructure informatique","Capacité démontrée à concevoir, mettre en œuvre ou administrer des systèmes et réseaux de télécommunications pour garantir une infrastructure et des services de communication fiables."
"172bfee4-4adb-406b-a4dd-71e93fa54257","Performance testing","Technical skills","Software Solutions - Quality Assurance","Demonstrated ability to effectively evaluate and document the stability, speed, scalability, and responsiveness of an application by designing and executing comprehensive tests.","Test de performance","Compétences techniques","Solutions logicielles - assurance qualité","Capacité démontrée à évaluer et à documenter efficacement la stabilité, la vitesse, l’évolutivité et la réactivité d’une application en concevant et en exécutant des tests complets."
"d57982b9-41c0-4769-b4a1-3d395f933d7f","SAP Advanced Business Application Programming (ABAP)","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to apply concrete knowledge of this programming language to develop a variety of business applications within the SAP environment.","Programmation avancée des applications d’entreprise SAP (ABAP)","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à appliquer des connaissances concrètes liées à ce langage de programmation afin de mettre au point une gamme d’applications d’entreprise dans l’environnement SAP."
"04b29571-7283-4ecd-9677-dfc39bf032d8","Extensible Markup Language (XML)","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to apply concrete knowledge of this markup language to develop a variety of projects.","Langage de balisage extensible (XML)","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à appliquer des connaissances concrètes liées à ce langage de balisage afin d’élaborer divers projets."
"af4e29e0-8127-4717-8d72-d87272df11b4","Electronic Business using eXtensible Markup Language (EbXML)","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to apply concrete knowledge of this framework to standardize the secure exchange of business data for consistent data exchange.","Commerce électronique utilisant le langage de balisage extensible (EbXML)","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à appliquer des connaissances concrètes liées à ce cadre afin de normaliser les échanges sécurisés de données opérationnelles et d’assurer ainsi un échange de données cohérent."
"5015ec47-2db3-4256-ad0a-9a37e5aa0145","Full Stack development","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to develop, deploy and maintain end-to-end applications, including both front-end user interfaces and back-end server logic. This includes front-end technologies such as HTML, CSS, and JavaScript and back-end technologies such as databases, server-side languages, and APIs.","Développement pile complète","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à développer, déployer et maintenir des applications de bout en bout, y compris les interfaces utilisateur-ordinateur frontales et la logique de serveur dorsal. Cela comprend les technologies frontales telles que HTML, CSS et JavaScript et les technologies dorsales telles que les bases de données, les langages côté serveur et les API."
"f4a6fdf3-9b28-4123-8956-3ea5d0b09eef","Design Systems","Technical skills","Software Solutions - Product Design","Demonstrated ability to create reusable components and apply knowledge of design principals such as typography, color theory, layout and visual hierarchy to produce consistent and efficient digital products while maintaining brand identity.","Systèmes de design","Compétences techniques","Solutions logicielles - Conception de produits","Capacité démontrée à créer des composants réutilisables et à appliquer des connaissances en matière de principes de design tels que la typographie, la théorie des couleurs, la mise en page et la hiérarchie visuelle pour produire des produits numériques cohérents et efficaces tout en préservant l'identité de marque."
"7af8ca2c-fbce-4b57-8b46-a1fe1035d21d","Practical Extraction and Reporting Language (Perl)","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to apply concrete knowledge of this programming language that supports procedural and object-oriented scripting to develop a variety of projects.","Langage Pratique d'Extraction et de Rapport (Perl)","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à appliquer une connaissance concrète de ce langage de programmation qui soutient le scripting procédural et orienté objet pour développer une variété de projets."
"78d47fc7-b624-44b5-a98a-473c132cf181","Geographic Information System (GIS) product suites","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to use a collection of software tools and applications designed to support spatial data management analysis, visualization, and decision making. This may include products such as ArcGUIS Online, ArcGIS Pro, ArcGIS Enterprise, IGiS Enterprise Suite, QGIS, GRASS GIS and related.","Suites de produits de Système d'Information Géographique (SIG)","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à utiliser une collection d'outils logiciels et d'applications conçus pour soutenir la gestion des données spatiales, l'analyse, la visualisation et la prise de décision. Cela peut inclure des produits tels que ArcGIS Online, ArcGIS Pro, ArcGIS Enterprise, IGiS Enterprise Suite, QGIS, GRASS GIS et apparentés."
"dd9025e7-5b2c-4db7-84f6-dbb1e765ae32","SAP High-Performance Analytic Appliance (SAP HANA)","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to apply concrete knowledge of this in-memory, column-oriented relational database management system to process, store, analyze, and query data.","SAP High-Performance Analytic Appliance (SAP HANA)","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à appliquer une connaissance concrète de ce système de gestion de base de données relationnelle en mémoire et orienté colonnes pour traiter, stocker, analyser et interroger des données."
"790001ba-0d32-4232-916c-3250bd1a9b55","SAP Human Capital Management (HCM)","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to leverage this software solution for managing and optimizing human resources processes.","SAP Human Capital Management (HCM)","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à exploiter cette solution logicielle pour gérer et optimiser les processus des ressources humaines."
"ca66cf5a-19a3-4067-8ad4-e8f6a2bedacd","SAP Basis","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to apply concrete knowledge of foundational SAP concepts and features to enable applications to be interoperable and portable across operating systems and database products.","SAP Basis","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à appliquer une connaissance concrète des concepts fondamentaux et des fonctionnalités de SAP pour permettre aux applications d'être interopérables et portables à travers les systèmes d'exploitation et les produits de base de données."
"ae4e7445-7b9e-4b14-920d-0d1ab6e3f6d6","SAP Data Services","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to apply concrete knowledge of this enterprise information management solution for migration of data, text analysis, data quality and interconnectivity between SAP and non-SAP systems.","SAP Data Services","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à appliquer une connaissance concrète de cette solution de gestion d'information d'entreprise pour la migration des données, l'analyse de texte, la qualité des données et l'interopérabilité entre les systèmes SAP et non-SAP."
"2d303c4b-6e06-44d7-b2d1-173400d5ab8e","SAP Datasphere","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to leverage this comprehensive data service for data integration, data cataloguing, semantic modeling, data warehousing, and data federation.","SAP Datasphere","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à exploiter ce service de données complet pour l'intégration de données, le catalogage des données, la modélisation sémantique, l'entrepôt de données et la fédération des données."
"f3d9028f-aad3-4522-883f-4419c3dadb51","SAP Lumira","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to leverage this solution to develop a variety of products such as interactive maps, charts, infographics, dashboards and business intelligence (BI) applications.","SAP Lumira","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à exploiter cette solution pour développer une variété de produits tels que des cartes interactives, des graphiques, des infographies, des tableaux de bord et des applications d'informatique décisionnelle (BI)."
"7bbfa138-9a26-4c50-ab1b-6fea6b56aedf","Geographic Information System Portal (GIS Portal)","Technical skills","Software Solutions - Web Development","Demonstrated ability to develop, configure, and manage a web-based platform to provide access to  geospatial data, tools, and services for visualization, analysis, and decision-making purposes.","Un portail Système d'Information Géographique (un portal SIG)","Compétences techniques","Solutions logicielles - développement web","Capacité démontrée à développer, configurer et gérer des portails SIG, facilitant l'accès aux données géospatiales, aux outils et aux services pour la visualisation, l'analyse et la prise de décision."
"344929f8-0c8d-4536-b127-fd53a4d8229f","Geographic Information System (GIS) development","Technical skills","Software Solutions - Application Development","Demonstrated ability to develop and implement Geographic Information Systems (GIS) solutions, including data collection, spatial analysis, and visualization, for various applications.","Développement de Système d'Information Géographique (SIG)","Compétences techniques","Solutions logicielles - développement d'applications","Capacité démontrée à développer et mettre en œuvre des solutions de Systèmes d'Information Géographique (SIG), incluant la collecte de données, l'analyse spatiale et la visualisation, pour diverses applications."
"dc073f12-8f92-4ac8-a0dc-5f8cf80b9931","Data Analysis Expressions (DAX)","Technical skills","Data Services - Data Analytics","Demonstrated ability to apply concrete knowledge of this formula expression language to create custom calculations and aggregations in products such as Analysis Services, Power BI and Power Pivot.","Data Analysis Expressions (DAX)","Compétences techniques","Services de données - Analyse de données","Capacité démontrée à appliquer une connaissance concrète de ce langage d'expression de formules pour créer des calculs personnalisés et des agrégations dans des produits tels que Analysis Services, Power BI et Power Pivot."
"a6f7f15f-2146-4edd-a413-a86797766453","Cloud Migration","Technical skills","Enterprise Architecture","Demonstrated ability to effectively transfer organizational data, applications, and processes from on-premises infrastructure to cloud environments.","Migration vers le cloud","Compétences techniques","Architecture intégrée","Capacité démontrée à transférer efficacement les données organisationnelles, les applications et les processus de l'infrastructure sur site vers des environnements cloud."
"d34d3fd9-8fd9-4577-b58d-67315ef5cb52","Database Migration","Technical skills","Enterprise Architecture","Demonstrated ability to plan, execute, and manage the migration of databases to ensure data integrity, minimal downtime, and optimal performance. For example from on-premises systems to cloud-based environments.","Migration de base de données","Compétences techniques","Architecture intégrée","Capacité démontrée à planifier, exécuter et gérer la migration de bases de données pour garantir l'intégrité des données, un temps d'arrêt minimal et des performances optimales. Par exemple, de systèmes sur site vers des environnements basés sur le cloud."
"11d466e2-e0c8-4407-9855-7a0b6be9f9cc","Structured Query Language - Procedural Language (PL/SQL)","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to apply concrete knowledge of this extension of SQL to write procedural code, such as loops, conditions and error handling.","Langage de requête structurée - Langage procédural (PL/SQL)","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à appliquer une connaissance concrète de cette extension de SQL pour écrire du code procédural, tel que des boucles, des conditions et la gestion des erreurs."
"ea2cd4ba-98ab-4556-9d65-adb919d8963f","IT Governance Documentation","Technical skills","IT Planning and Reporting","Demonstrated ability to craft comprehensive governance documentation such as Authority to Operate (ATO), Concept of Operations (ConOps), and Standard Operating Procedures (SOP).","Documentation de gouvernance des technologies de l'information","Compétences techniques","Planification et établissement de rapports en matière de la numérique","Capacité démontrée à élaborer une documentation de gouvernance complète telle que l'Autorisation d'Exploitation (ATO), le Concept d'Opérations (ConOps) et les Procédures Opérationnelles Standard (SOP)."
"0b70c650-4e3d-46b7-bd50-33e9eb178c97","Power Query (M)","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to use this tool to connect, transform and prepare data within Microsoft products for a variety of projects.","Power Query (M)","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à utiliser ce logiciel pour connecter, transformer et préparer des données pour une variété de projets."
"1f6a2452-7868-4551-b15e-af432f69c5eb","Microsoft Fabric","Technical skills","Data Services - Data Analytics","Demonstrated ability to leverage this software as a service for end-to-end analytics to enable unified data management, governance and discovery.","Microsoft Fabric","Compétences techniques","Services de données - Analyse de données","Capacité démontrée à exploiter ce logiciel en tant que service pour des analyses de bout en bout afin de permettre une gestion unifiée des données, la gouvernance et la découverte."
"606203da-3d06-4bf1-b611-058be5897891","SQL Server Reporting Services (SSRS)","Technical skills","Data Services - Data Analytics","Demonstrated ability to use these on-premises tools and services to create, deploy and manage paginated reports for a variety of projects.","Services de Rapports SQL Server (SSRS)","Compétences techniques","Services de données - Analyse de données","Capacité démontrée à utiliser ces outils et services sur site pour créer, déployer et gérer des rapports paginés pour divers projets."
"dc2eca08-82a5-4d0d-a447-a77557957a8d","SAP BusinessObjects Business Intelligence","Technical skills","Data Services - Data Science, Data Services - Data Analytics, Data Services - Data Systems Operations, Software Solutions - Product Design","Demonstrated ability to apply concrete knowledge of this suite of business intelligence (BI) tools for data reporting, visualization and analysis.","SAP BusinessObjects Business Intelligence","Compétences techniques","Services de données - Science des données, Services de données - Analyse de données, Services de données - Opérations des systèmes de données, Solutions logicielles - Conception de produits","Capacité démontrée à appliquer une connaissance concrète de cette suite d'outils d'informatique décisionnelle (BI) pour le reporting, la visualisation et l'analyse des données."
"c1b0db8b-c065-4783-9cb3-17990b610566","Azure Data Lake","Technical skills","Data Services - Data Analytics","Demonstrated ability to leverage this cloud-based solution to design, implement and manage scalable architectures for diverse data types and advanced analytics.","Azure Data Lake","Compétences techniques","Services de données - Analyse de données","Capacité démontrée à exploiter cette solution basée sur le cloud pour concevoir, mettre en œuvre et gérer des architectures évolutives pour différents types de données et des analyses avancées."
"040c1e03-e998-4ac4-88ca-8106db940ae1","Azure Synapse Pipelines","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to leverage this enterprise analytics service for data integration by creating data-driven workflows for orchestrating data movement and transforming data at scale.","Pipelines Azure Synapse","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à tirer parti de ce service d'analyse d'entreprise pour l'intégration des données en créant des flux de travail axés sur les données pour orchestrer le mouvement des données et les transformer à grande échelle."
"d8c73e6f-c47d-490e-8601-f204ddbcfdb3","Power BI Report Server","Technical skills","Data Services - Data Analytics","Demonstrated ability to configure this tool and publish Power BI reports on-premise.","Serveur de rapports Power BI","Compétences techniques","Services de données - Analyse de données","Capacité démontrée à configurer cet outil et à publier des rapports Power BI sur site."
"6cba08a4-e38b-4d8f-b0c3-bbf95bc3f544","Power BI Service","Technical skills","Data Services - Data Analytics","Demonstrated ability to configure this tool and deploy, manage, and optimize Power BI reports in the Azure cloud.","Service Power BI","Compétences techniques","Services de données - Analyse de données","Capacité démontrée à déployer, gérer et optimiser des rapports à l'aide du service de rapports Power BI dans le nuage informatique Azure."
"0c65723e-d148-4b71-a783-7ea7554bc9b0","Azure DevOps","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to leverage this product suite for comprehensive software development lifecycle management to streamline development processes and enhance team collaboration and productivity. This may include source code management, project planning, build automation, testing, and release management.","Azure DevOps","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à exploiter cet outil pour la gestion complète du cycle de vie du développement logiciel afin de rationaliser les processus de développement, d'améliorer la collaboration et la productivité de l'équipe. Cela peut inclure la gestion du code source, la planification de projet, l'automatisation des builds, les tests et la gestion des versions."
"5162f3b1-1c92-4552-998a-4cb9aa948f54","Azure Synapse","Technical skills","Data Services - Data Analytics","Demonstrated ability to leverage this enterprise analytics service for unified data integration, engineering, warehousing, data science, real-time analytics, or business intelligence.","Azure Synapse","Compétences techniques","Services de données - Analyse de données","Capacité démontrée à tirer parti de ce service d'analyse d'entreprise pour l'intégration unifiée des données, l'ingénierie, l'entreposage, la science des données, l'analyse en temps réel ou l'intelligence d'affaires."
"b4120c3c-004a-4844-8912-d05d7480b6a8","Dimensional Data Modelling","Technical skills","Data Services - Data Analytics","Demonstrated ability to apply concrete knowledge of this technique to structure data into measurable, quantitative data points and attributes for streamlined analysis and reporting within data warehousing and business intelligence contexts.","Modélisation dimensionnelle des données","Compétences techniques","Services de données - Analyse de données","Capacité démontrée à appliquer des connaissances concrètes de cette technique pour structurer les données en points de données mesurables et quantitatifs ainsi que des attributs pour une analyse et un rapport simplifiés dans les contextes de l'entreposage de données et de l'intelligence d'affaires."
"a51bb0b0-5f0f-4e8f-bc8b-d3c1aac8cc5e","Front-end development","Technical skills","Software Solutions - Web Development, Software Solutions - Application Development","Demonstrated ability to build client-side functionalities of web applications. This includes using programming languages such as HTML, CSS, React, or JavaScript to build the user interface and visual elements of applications.","Développement frontal","Compétences techniques","Solutions logicielles - développement web, Solutions logicielles - développement d'applications","Capacité démontrée à créer des fonctionnalités côté client pour les applications Web. Il s’agit notamment d’utiliser des langages de programmation tels que HTML, CSS, React ou JavaScript pour bâtir l’interface utilisateur et les éléments visuels des applications."
"713f8a61-396b-4442-8b7f-68ea6aad7f4e","Test Documentation","Technical skills","Data Services - Data Analytics","Demonstrated ability to create and manage various test artifacts to ensure thorough quality assurance throughout the software development lifecycle. This may include test plans, test cases, test scripts, test reports, traceability matrices, or defect logs.","Documentation des tests","Compétences techniques","Services de données - Analyse de données","Capacité démontrée à créer et à gérer divers artefacts de test afin de garantir une assurance qualité complète tout au long du cycle de développement du logiciel. Cela peut inclure des plans de test, des cas de test, des scripts de test, des rapports de test, des matrices de traçabilité ou des registres de défauts."
"749ce76d-5695-42b7-9056-20274fb66c1e","Power BI","Technical skills","Financial Management, Data Services - Data Analytics","Demonstrated ability to apply concrete knowledge of this tool to analyze, design, develop and implement Power BI reports and dashboards.","Power BI","Compétences techniques","Gestion financière, Services de données - Analyse de données","Capacité démontrée à appliquer une connaissance concrète de cet outil pour analyser, concevoir, développer et mettre en œuvre des rapports et des tableaux de bord Power BI."
"ff1f9ed0-a4e2-47b9-834d-92567e86d8c8","Azure SQL Managed Instance","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated the ability in managing and configuring environments to optimize secure, scalable, and high-performing database solutions. This includes the migration of on-premises SQL Server databases to Azure, implementation of high availability and disaster recovery solutions, and seamless integration with other Azure services.","Instance gérée de Azure SQL","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à gérer et configurer des environnements pour optimiser des solutions de bases de données sécurisées, évolutives et performantes. Cela inclut la migration des bases de données SQL Server sur site vers Azure, l'implémentation de solutions de haute disponibilité et de reprise après sinistre, ainsi que l'intégration transparente avec d'autres services Azure."
"b0bd7731-9a2c-438f-9820-afbf15d31779","Azure SQL Database","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to leverage this platform as a service (PaaS) database engine to optimize and support cloud applications on a variety of projects.","Azure SQL Database","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à tirer parti de ce moteur de base de données en tant que service (PaaS) pour optimiser et prendre en charge des applications cloud dans divers projets."
"897cb76e-af8e-4fe2-b087-ee80fb943c5d","SQL Server Analysis Services (SSAS) Tabular","Technical skills","Data Services - Data Analytics","Demonstrated ability to leverage the tabular modeling services in this data engine to develop and manage analytical data models.","SQL Server Analysis Services (SSAS) Tabular","Compétences techniques","Services de données - Analyse de données","Capacité démontrée à exploiter les services de modélisation tabulaire dans ce moteur de données pour développer et gérer des modèles de données analytiques."
"68ee038f-9fc9-4449-90ad-c3fe23b9f843","On-Premise Data Gateway","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to configure and manage On-Premises Data Gateways for seamless data transfer between on-premises data sources and Microsoft cloud services.","Passerelle de données sur site","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à configurer et gérer des passerelles de données sur site pour un transfert de données fluide entre les sources de données sur site et les services cloud de Microsoft."
"a1220a43-19be-4ffb-bca9-fc7b86084440","Power BI Desktop","Technical skills","Data Services - Data Analytics","Demonstrated ability to utilize this tool for creating interactive visualizations and business intelligence reports, including the development of dashboards and data models.","Power BI Desktop","Compétences techniques","Services de données - Analyse de données","Capacité démontrée à utiliser cet outil pour créer des visualisations interactives et des rapports d'informatique décisionnelle, y compris le développement de tableaux de bord et de modèles de données."
"98570bf5-d196-4275-a8fa-38c253d75141","Self Hosted Integration Runtime (SHIR)","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to configure and manage Self-Hosted Integration Runtimes (SHIR) in Azure Data Factory, and Synapse pipelines for seamless data integration across private networks.","Runtime d'intégration auto-hébergé (SHIR)","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à configurer et gérer des Runtimes d'Intégration Auto-hébergés (SHIR) dans Azure Data Factory, ainsi que des pipelines Synapse pour une intégration de données fluide à travers des réseaux privés."
