"ID","","","","","","","",""
"d4592e6c-5f50-4793-b739-583d3bfa0d99","Policies, Procedures, or Guidelines development","Technical skills","Access to Information and Privacy","Demonstrated ability to interpret and develop varied policies, procedures or guidelines.","Élaboration de politiques, de procédures ou de lignes directrices.","Compétences techniques","Accès à l’information et de la protection des renseignements personnels","Capacité démontrée d’interpréter et d’élaborer diverses politiques, procédures ou lignes directrices."
"b0a94316-de56-4601-928d-81f10445c6cb","Advise and Negotiate","Technical skills","Access to Information and Privacy, Interpersonal Behaviours","Demonstrated ability to negotiate with or provide advice to stakeholders. This may include internal stakeholders (within the candidate's organization) or external stakeholders (any institution outside of the candidate's organization).","Conseiller et négocier","Compétences techniques","Accès à l’information et de la protection des renseignements personnels, Comportements interpersonnels","Capacité avérée à négocier avec les parties prenantes ou à les conseiller. Cela peut inclure des parties prenantes internes (au sein de l'organisation du candidat) ou externes (toute institution extérieure à l'organisation du candidat)."
"945b11f6-974c-431d-98b6-21de1f1cb792","Ability to Learn Quickly","Behavioural skills","Thinking Skills","Demonstrated ability to rapidly pick up new skills and competencies, and apply them in a work situation.","Capacité d’apprendre rapidement","Compétences comportementales","Capacités de raisonnement","Capacité démontrée à acquérir rapidement de nouvelles aptitudes et compétences et à les appliquer dans une situation de travail."
"e30fc3be-33e2-4910-91ed-8150bf4df5af","Web Information Architecture","Technical skills","Software Solutions - Web Development","Demonstrated ability to create, audit, revise, and organize web content in a meaningful way that enables user behaviours and understanding. This includes the demonstrated ability to produce content that is easy to navigate, easy to find, and easily understood.","Architecture de l’information Web","Compétences techniques","Solutions logicielles - développement web","Capacité démontrée de créer, d’auditer, de réviser et d’organiser du contenu Web d’une manière significative qui permet aux utilisateurs de les adopter et de les comprendre. Cela inclut la capacité démontrée à produire du contenu facile à naviguer, facile à trouver et facile à comprendre."
"1bd7be9e-6b90-4d4f-86b0-1f8bb08ac00d","SAP Fiori","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to apply concrete knowledge of this design language to enhance user experiences in enterprise applications.","SAP Fiori","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à appliquer des connaissances concrètes liées à ce langage de conception afin d’améliorer l’expérience utilisateur dans les applications d’entreprise."
"f66c843d-987f-47c3-b02f-95b1b0b2af9d","Microsoft Access","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to use this relational database management system to develop working applications in a low code environment.","Microsoft Access","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrer à utiliser ce système de gestion de base de données relationnelle afin de mettre au point des applications fonctionnelles dans un environnement à programmation schématisée."
"5e5367c0-efdc-4d7e-8721-8ecf1d0d1190","Advice to Management","Technical skills","Leadership - General Technical Skills","Demonstrated ability to develop evidence-based analysis and recommendations and to communicate this work to management, verbally or in writing, in a clear and meaningful way.","Conseils à la direction","Compétences techniques","Leadership - Compétences techniques générales","Capacité démontrée d’élaborer des analyses et des recommandations fondées sur des données probantes et de communiquer ce travail à la direction, verbalement ou par écrit, de manière claire et significative."
"9aa0bd20-9bfa-4387-9e96-89529af7c857","Data Tools","Technical skills","Data Services - Data Analytics, Data Services - Data Systems Operations","Demonstrated ability to choose the most relevant tool in line with the core technical concepts related to the data job and practically apply tools in line with industry best practices.","Outils de données","Compétences techniques","Services de données - Analyse de données, Services de données - Opérations des systèmes de données","Capacité démontrée à choisir l’outil le plus approprié en fonction des concepts techniques fondamentaux liés au travail sur les données et à appliquer concrètement les outils conformément aux pratiques exemplaires du secteur."
"8830d0d7-2da0-4189-8447-1302aecc2663","Information Architecture Advocacy","Technical skills","Information and Data Governance - Information Architecture","Demonstrated ability to drive a culture that values information and data sharing and advocates good information architecture practices to enable seamless sharing and reuse of information.","Appui à l'architecture de l'information","Compétences techniques","Gouvernance de l'information et des données - Architecture de l'information","Capacité démontrée à promouvoir une culture qui valorise le partage de l'information et des données et qui préconise de bonnes pratiques en matière d'architecture de l'information afin de permettre un partage et une réutilisation transparents de l'information."
"cebf8755-e7bc-438c-b77e-3e193096388c","Preparation of Briefing Materials - Legal Terminology","Technical skills","Access to Information and Privacy","Demonstrated ability to handle, interpret and prepare briefing documents with legal terminology, ensuring accuracy and compliance.","Préparation des documents d’information - Terminologie juridique","Compétences techniques","Accès à l’information et de la protection des renseignements personnels","Aptitude avérée à manipuler, interpréter et préparer des documents d’information avec une terminologie juridique, en veillant à l’exactitude et à la conformité."
"8b266e87-a657-4e79-9ec1-692c607d5ee6","Written Communication","Behavioural skills","Communication Skills","Demonstrated ability to write information in a clear, logical manner that enables readers to understand and use the concepts shared.","Communication écrite","Compétences comportementales","Compétences en communication","Capacité démontrée à rédiger de l’information d’une manière claire et logique qui permet aux lecteurs de comprendre et d’utiliser les concepts partagés."
"b5773b4e-6a8e-4893-9efe-076533844017","Azure Policy","Technical skills","Programming Languages, Frameworks, and Tools, Enterprise Architecture","Demonstrated ability to use, create, and modify policies in Azure, with awareness of the impact of these changes on the broader Azure policy ecosystem.","Politique Azure","Compétences techniques","Langages de programmation, frameworks et outils, Architecture intégrée","Capacité démontrée à utiliser, créer et modifier des stratégies dans Azure, en étant conscient de l’impact de ces changements sur l’écosystème de stratégies Azure au sens large."
